site,year,month,day_frac_T1,day_frac_T2,day_frac_T3,day_frac_moist,T1_mean,T1_absmax,T1_absmin,T1_meanmax,T1_meanmin,T2_mean,T2_absmax,T2_absmin,T2_meanmax,T2_meanmin,T3_mean,T3_absmax,T3_absmin,T3_meanmax,T3_meanmin,moist_sd,moist_cv,moist_med,moist_mean,moist_absmax,moist_absmin,T1_TDD,T1_GDD3,T1_GDD5,T1_FDD,T1_TDD_days,T1_GDD3_days,T1_GDD5_days,T1_FDD_days,T2_TDD,T2_GDD3,T2_GDD5,T2_FDD,T2_TDD_days,T2_GDD3_days,T2_GDD5_days,T2_FDD_days,T3_TDD,T3_GDD3,T3_GDD5,T3_FDD,T3_TDD_days,T3_GDD3_days,T3_GDD5_days,T3_FDD_days
2,2021,5,1,1,1,1,5.48,9.24,0.99,6.15,4.86,7.72,23.25,-2.31,11.87,4.01,8.13,26.12,-4.25,13.43,3.38,3.46,0.18,18.5,19,34.1,13.6,169.82,149,145.31,0,31,22,21,0,239.18,230.43,215.64,0,31,26,22,0,251.9,243.49,227.88,0,31,26,22,0
2,2021,6,1,1,1,1,11.16,15.36,6.49,11.93,10.4,16.13,30.07,5.5,20.73,11.74,17.05,32.5,4.62,22.9,11.52,2.33,0.22,10.3,10.7,25.8,7.2,334.77,334.77,334.77,0,30,30,30,0,483.76,483.76,483.76,0,30,30,30,0,511.48,511.48,511.48,0,30,30,30,0
2,2021,7,1,1,1,1,13.22,15.99,10.24,13.89,12.47,17.46,28.25,7,22.27,12.83,18.08,30.81,5.75,23.84,12.41,0.85,0.17,5.1,5.1,9.2,3.6,409.84,409.84,409.84,0,31,31,31,0,541.24,541.24,541.24,0,31,31,31,0,560.47,560.47,560.47,0,31,31,31,0
2,2021,8,1,1,1,1,11.92,13.93,9.36,12.47,11.41,13,21.38,7.38,15.93,10.59,13.03,23.12,6.62,16.88,9.99,6.18,0.44,14.2,14,30.5,4.1,369.66,369.66,369.66,0,31,31,31,0,403,403,403,0,31,31,31,0,403.97,403.97,403.97,0,31,31,31,0
2,2021,9,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,8.87,11.36,5.86,9.32,8.44,7.86,15.75,0.13,10.16,5.43,7.49,17,-1.62,10.66,4.34,3.67,0.28,12.6,13.2,25.1,8.4,195.16,195.16,195.16,0,22,22,22,0,172.91,172.91,164.55,0,22,22,20,0,164.87,164.87,153.58,0,22,22,19,0
3,2019,8,0.1935483870967742,0.1935483870967742,0.1935483870967742,0.1935483870967742,14.81,16.24,13.3,15.63,14.11,16.14,26.12,8.25,23.31,10.08,16.94,29.4,4.46,26.01,7.4,0.12,0,48.7,48.8,49.1,48.4,88.87,88.87,88.87,0,6,6,6,0,96.81,96.81,96.81,0,6,6,6,0,101.66,101.66,101.66,0,6,6,6,0
3,2019,9,1,1,1,1,11.12,16.05,6.99,11.61,10.76,9.69,24.62,1.06,14.79,5.92,8.77,27.02,-4.6,16.43,2.39,2.31,0.04,54.9,53.9,57,48.3,333.5,333.5,333.5,0,30,30,30,0,290.71,290.71,271.62,0,30,30,26,0,263.13,247.8,238.06,0,30,24,22,0
3,2019,10,1,1,1,1,5.61,9.05,2.36,5.96,5.31,3.83,9.62,-2.62,5.85,2.02,2.57,11.77,-9.23,6.27,-0.75,0.97,0.02,56.4,56.4,58,54.8,173.97,171.35,132.59,0,31,30,21,0,120.31,94.64,48.39,-1.48,29,18,7,2,89.95,70.62,55.61,-10.25,26,12,8,5
3,2019,11,1,1,1,0.3333333333333333,1.04,2.86,0.11,1.19,0.89,-0.02,3.62,-4.44,0.56,-0.7,-1.18,7.46,-14.04,1.03,-3.66,0.27,0,58,57.9,58.1,57.1,31.21,0,0,0,30,0,0,0,13.32,3.24,0,-13.88,12,1,0,18,23.69,15.44,0,-58.99,12,4,0,18
3,2019,12,1,1,1,0,0.21,0.36,0.05,0.24,0.19,-0.06,0,-0.12,-0.03,-0.09,-0.88,2.77,-8.73,0.01,-2.03,NA,NA,NA,NA,NA,NA,6.51,0,0,0,31,0,0,0,0,0,0,-1.72,5,0,0,31,4.55,0,0,-31.82,5,0,0,26
