site,hydro_year,days_in_hydro_year,first_day_in_hydro_year,last_day_in_hydro_year,snow_days,max_snow_period,n_snow_period,first_snow_date,last_snow_date,last_snow_doy,T1_ft,T2_ft,T3_ft,deep_snow_days_T2,max_deep_snow_period_T2,n_deep_snow_period_T2,first_deep_snow_date_T2,last_deep_snow_date_T2,last_deep_snow_doy_T2,deep_snow_days_T3,max_deep_snow_period_T3,n_deep_snow_period_T3,first_deep_snow_date_T3,last_deep_snow_date_T3,last_deep_snow_doy_T3
15,2021,365,1,365,124,112,2,2020-12-08,2021-04-14,104,76,70,112,87,87,1,2021-01-18,2021-04-14,104,56,30,3,2021-02-02,2021-04-11,101
16,2020,366,1,366,73,27,4,2019-11-23,2020-03-09,69,4,342,456,38,20,2,2019-12-12,2020-02-16,47,0,0,0,NA,NA,0
16,2021,365,1,365,122,110,2,2020-12-08,2021-04-12,102,0,202,222,106,106,1,2020-12-28,2021-04-12,102,70,35,3,2021-01-13,2021-04-03,93
18,2020,366,1,366,107,56,3,2019-11-04,2020-03-17,77,16,232,290,40,16,3,2019-12-12,2020-03-11,71,0,0,0,NA,NA,0
18,2021,365,1,365,126,114,2,2020-12-08,2021-04-16,106,116,72,96,85,56,2,2021-01-18,2021-04-16,106,37,24,2,2021-02-01,2021-04-13,103
19,2020,366,1,366,137,124,2,2019-11-01,2020-03-24,84,28,180,486,113,61,3,2019-11-22,2020-03-20,80,13,13,1,2019-12-13,2019-12-25,359
19,2021,365,1,365,128,128,1,2020-11-27,2021-04-03,93,88,64,202,123,114,2,2020-11-27,2021-04-03,93,69,69,1,2021-01-22,2021-03-31,90
21,2020,366,1,366,118,53,4,2019-10-29,2020-03-15,75,18,202,378,79,46,3,2019-11-23,2020-03-11,71,13,13,1,2019-12-13,2019-12-25,359
21,2021,365,1,365,122,109,2,2020-12-08,2021-04-12,102,0,62,186,118,109,2,2020-12-11,2021-04-12,102,84,84,1,2021-01-18,2021-04-11,101
22,2020,366,1,366,76,34,3,2019-10-28,2020-02-15,46,4,222,366,14,14,1,2019-12-12,2019-12-25,359,0,0,0,NA,NA,0
22,2021,365,1,365,121,109,2,2020-12-08,2021-04-11,101,22,92,162,91,51,3,2020-12-24,2021-04-11,101,14,14,1,2021-03-21,2021-04-03,93
24,2020,366,1,366,115,53,3,2019-10-29,2020-03-14,74,18,352,392,37,22,2,2019-12-12,2020-02-18,49,0,0,0,NA,NA,0
25,2020,366,1,366,62,25,4,2019-11-04,2020-03-08,68,10,206,310,10,10,1,2019-12-12,2019-12-21,355,0,0,0,NA,NA,0
25,2021,365,1,365,120,109,2,2020-12-08,2021-04-11,101,30,130,150,91,91,1,2021-01-11,2021-04-11,101,54,30,3,2021-01-23,2021-04-03,93
26,2020,366,1,366,74,25,4,2019-11-04,2020-03-08,68,28,286,418,30,16,2,2019-12-12,2020-02-12,43,0,0,0,NA,NA,0
26,2021,365,1,365,122,110,2,2020-12-08,2021-04-12,102,0,138,192,92,92,1,2021-01-11,2021-04-12,102,59,24,3,2021-01-23,2021-04-03,93
27,2020,366,1,366,90,90,1,2020-01-22,2020-04-20,111,142,182,515,83,51,2,2020-01-26,2020-04-20,111,0,0,0,NA,NA,0
27,2021,365,1,365,15,15,1,2021-03-30,2021-04-13,103,0,10,233,15,15,1,2021-03-30,2021-04-13,103,93,93,1,2021-01-11,2021-04-13,103
28,2020,366,1,366,101,26,5,2019-10-28,2020-03-14,74,8,252,408,42,19,3,2019-11-23,2020-02-15,46,9,9,1,2019-12-13,2019-12-21,355
28,2021,365,1,365,117,105,2,2020-12-08,2021-04-07,97,16,90,160,105,105,1,2020-12-24,2021-04-07,97,68,68,1,2021-01-23,2021-03-31,90
